7,bus,0.94,,1391,79,1918,461,True,,1808,402,1871,419,
8,bus,0.94,,1388,84,1918,458,True,,1793,400,1857,418,
9,bus,0.94,,1385,88,1918,457,True,,1784,400,1841,415,
10,bus,0.95,,1383,92,1918,457,True,,1768,398,1829,414,
11,bus,0.94,,1382,95,1918,456,True,,1758,398,1815,414,
12,bus,0.93,,1383,96,1918,456,True,,1746,396,1802,412,
13,bus,0.94,,1382,101,1914,452,True,,1735,396,1791,412,
14,bus,0.93,,1382,104,1896,451,True,,1724,394,1780,410,
15,bus,0.92,,1380,107,1883,451,True,,1713,393,1769,409,
16,bus,0.93,,1377,111,1865,450,True,,1704,392,1759,407,
17,bus,0.92,,1376,114,1866,449,True,,1694,391,1747,406,
18,bus,0.91,,1377,117,1857,451,True,,1684,389,1737,405,
19,bus,0.92,,1375,121,1834,448,True,,1675,388,1727,402,
20,bus,0.93,,1374,126,1822,446,True,,1667,388,1718,402,
21,bus,0.92,,1372,127,1815,444,True,,1658,386,1709,400,
22,bus,0.92,,1370,132,1810,442,True,,1650,385,1700,400,
23,bus,0.92,,1369,135,1812,442,True,,1643,385,1691,399,
24,bus,0.91,,1370,140,1806,441,True,,1634,383,1683,397,
24,car,0.72,,1308,313,1366,366,True,,1337,336,1355,340,
25,bus,0.89,,1368,140,1781,442,True,,1629,384,1675,398,
26,bus,0.91,,1366,142,1767,442,True,,1622,383,1668,396,
27,bus,0.9,,1366,144,1759,440,True,,1614,383,1661,397,
28,bus,0.9,,1363,148,1743,436,True,,1606,382,1653,395,
29,bus,0.91,,1363,150,1736,436,True,,1602,381,1646,394,
30,bus,0.9,,1363,151,1733,438,True,,1594,380,1640,392,
31,bus,0.91,,1360,153,1730,431,True,,1590,379,1633,392,
32,bus,0.9,,1361,155,1730,429,True,,1583,379,1626,391,
33,bus,0.92,,1360,158,1709,424,True,,1576,377,1621,390,
34,bus,0.93,,1357,159,1700,428,True,,1571,376,1614,389,
35,bus,0.93,,1354,161,1696,431,True,,1566,376,1609,388,
36,bus,0.92,,1356,163,1693,429,True,,1560,375,1602,387,
37,bus,0.93,,1355,166,1681,427,True,,1556,374,1597,386,
38,bus,0.92,,1354,165,1674,425,True,,1550,373,1591,386,
39,bus,0.91,,1352,168,1669,424,True,,1546,372,1585,385,
40,bus,0.91,,1351,166,1661,422,True,,1541,373,1581,385,
41,bus,0.91,,1348,169,1656,421,True,,1536,372,1575,384,
41,bus,0.91,,1348,169,1656,421,True,,1582,360,1621,373,
42,bus,0.93,,1349,173,1650,416,True,,1531,371,1569,383,
43,bus,0.94,,1345,175,1644,416,True,,1528,371,1565,383,
44,bus,0.93,,1344,176,1637,415,True,,1524,371,1560,382,
45,bus,0.93,,1343,178,1638,414,True,,1520,371,1556,382,
46,bus,0.92,,1342,178,1630,412,True,,1514,370,1552,381,
47,bus,0.93,,1341,181,1627,412,True,,1510,370,1547,381,
48,bus,0.92,,1342,182,1625,414,True,,1507,370,1542,381,
49,bus,0.93,,1340,184,1614,413,True,,1503,370,1539,379,
50,bus,0.92,,1341,185,1614,411,True,,1499,369,1534,379,
53,bus,0.93,,1336,189,1597,412,True,,1489,367,1523,377,
54,bus,0.93,,1336,190,1592,412,True,,1486,367,1520,377,
55,bus,0.92,,1335,191,1593,408,True,,1482,365,1516,376,
56,bus,0.91,,1334,190,1583,409,True,,1479,366,1512,375,
57,bus,0.91,,1334,192,1579,408,True,,1476,365,1509,375,
58,bus,0.91,,1335,191,1576,407,True,,1473,363,1506,374,
59,bus,0.92,,1333,193,1570,406,True,,1466,363,1502,373,
60,bus,0.91,,1332,195,1567,403,True,,1466,362,1499,372,
